year,Chemistry,Physics,Physiology or Medicine,solo_winner
1901,1.0,1.0,1.0,3
1902,1.0,2.0,1.0,2
1903,1.0,3.0,1.0,2
1904,1.0,1.0,1.0,3
1905,1.0,1.0,1.0,3
1906,1.0,1.0,2.0,2
1907,1.0,1.0,1.0,3
1908,1.0,1.0,2.0,2
1909,1.0,2.0,1.0,2
1910,1.0,1.0,1.0,3
1911,1.0,1.0,1.0,3
1912,2.0,1.0,1.0,2
1913,1.0,1.0,1.0,3
1914,1.0,1.0,1.0,3
1915,1.0,2.0,,1
1917,,1.0,,1
1918,1.0,1.0,,2
1919,,1.0,1.0,2
1920,1.0,1.0,1.0,3
1921,1.0,1.0,,2
1922,1.0,1.0,2.0,2
1923,1.0,1.0,2.0,2
1924,,1.0,1.0,2
1925,1.0,2.0,,1
1926,1.0,1.0,1.0,3
1927,1.0,2.0,1.0,2
1928,1.0,1.0,1.0,3
1929,2.0,1.0,2.0,1
1930,1.0,1.0,1.0,3
1931,2.0,,1.0,1
1932,1.0,1.0,2.0,2
1933,,2.0,1.0,1
1934,1.0,,3.0,1
1935,2.0,1.0,1.0,2
1936,1.0,2.0,2.0,1
1937,2.0,2.0,1.0,1
1938,1.0,1.0,1.0,3
1939,2.0,1.0,1.0,2
1943,1.0,1.0,2.0,2
1944,1.0,1.0,2.0,2
1945,1.0,1.0,3.0,2
1946,3.0,1.0,1.0,2
1947,1.0,1.0,3.0,2
1948,1.0,1.0,1.0,3
1949,1.0,1.0,2.0,2
1950,2.0,1.0,3.0,1
1951,2.0,2.0,1.0,1
1952,2.0,2.0,1.0,1
1953,1.0,1.0,2.0,2
1954,1.0,2.0,3.0,1
1955,1.0,2.0,1.0,2
1956,2.0,3.0,3.0,0
1957,1.0,2.0,1.0,2
1958,1.0,3.0,3.0,1
1959,1.0,2.0,2.0,1
1960,1.0,1.0,2.0,2
1961,1.0,2.0,1.0,2
1962,2.0,1.0,3.0,1
1963,2.0,3.0,3.0,0
1964,1.0,3.0,2.0,1
1965,1.0,3.0,3.0,1
1966,1.0,1.0,2.0,2
1967,3.0,1.0,3.0,1
1968,1.0,1.0,3.0,2
1969,2.0,1.0,3.0,1
1970,1.0,2.0,3.0,1
1971,1.0,1.0,1.0,3
1972,3.0,3.0,2.0,0
1973,2.0,3.0,3.0,0
1974,1.0,2.0,3.0,1
1975,2.0,3.0,3.0,0
1976,1.0,2.0,2.0,1
1977,1.0,3.0,3.0,1
1978,1.0,3.0,3.0,1
1979,2.0,3.0,2.0,0
1980,3.0,2.0,3.0,0
1981,2.0,3.0,3.0,0
1982,1.0,1.0,3.0,2
1983,1.0,2.0,1.0,2
1984,1.0,2.0,3.0,1
1985,2.0,1.0,2.0,1
1986,3.0,3.0,2.0,0
1987,3.0,2.0,1.0,1
1988,3.0,3.0,3.0,0
1989,2.0,3.0,2.0,0
1990,1.0,3.0,2.0,1
1991,1.0,1.0,2.0,2
1992,1.0,1.0,2.0,2
1993,2.0,2.0,2.0,0
1994,1.0,2.0,2.0,1
1995,3.0,2.0,3.0,0
1996,3.0,3.0,2.0,0
1997,3.0,3.0,1.0,1
1998,2.0,3.0,3.0,0
1999,1.0,2.0,1.0,2
2000,3.0,3.0,3.0,0
2001,3.0,3.0,3.0,0
2002,3.0,3.0,3.0,0
2003,2.0,3.0,2.0,0
2004,3.0,3.0,2.0,0
2005,3.0,3.0,2.0,0
2006,1.0,2.0,2.0,1
2007,1.0,2.0,3.0,1
2008,3.0,3.0,3.0,0
2009,3.0,3.0,3.0,0
2010,3.0,2.0,1.0,1
2011,1.0,3.0,3.0,1
2012,2.0,2.0,2.0,0
2013,3.0,2.0,3.0,0
2014,3.0,3.0,3.0,0
2015,3.0,2.0,3.0,0
2016,3.0,3.0,1.0,1
2017,3.0,3.0,3.0,0
2018,3.0,3.0,2.0,0
2019,3.0,3.0,3.0,0
2020,2.0,3.0,3.0,0
2021,2.0,3.0,2.0,0
2022,3.0,3.0,1.0,1
2023,3.0,3.0,2.0,0
