birth_date,name_1,name_2,year_1,year_2,category_1,category_2
1843-05-21,Albert Gobat,Louis Renault,1902,1907,Peace,Peace
1865-05-25,Pieter Zeeman,John R. Mott,1902,1946,Physics,Peace
1881-03-23,Roger Martin du Gard,Hermann Staudinger,1937,1953,Literature,Chemistry
1895-10-30,Dickinson W. Richards,Gerhard Domagk,1956,1939,Physiology or Medicine,Physiology or Medicine
1918-06-18,Jerome Karle,Franco Modigliani,1985,1985,Chemistry,Economic Sciences
1930-03-15,Martin Karplus,Zhores Alferov,2013,2000,Chemistry,Physics
1930-10-10,Harold Pinter,Yves Chauvin,2005,2005,Literature,Chemistry
1932-10-24,Pierre-Gilles de Gennes,Robert Mundell,1991,1999,Physics,Economic Sciences
1936-01-27,Samuel C.C. Ting,Barry C. Barish,1976,2017,Physics,Physics
1938-03-07,David Baltimore,Albert Fert,1975,2007,Physiology or Medicine,Physics
1940-01-04,Brian D. Josephson,Gao Xingjian,1973,2000,Physics,Literature
1941-05-31,William D. Nordhaus,Louis J. Ignarro,2018,1998,Economic Sciences,Physiology or Medicine
1941-07-01,Myron Scholes,Alfred G. Gilman,1997,1994,Economic Sciences,Physiology or Medicine
1943-00-00,A. Michael Spence,Louis Brus,2001,2023,Economic Sciences,Chemistry
1961-00-00,Dmitry Muratov,Moungi Bawendi,2021,2023,Peace,Chemistry
